# pre-flip -> post-flip sha map, saltworks
# derived by docs/ledger-tools/flipmap.sh from refs/pre-flip/master (2b9dd57) -> HEAD (19c59a1)
# validated 5/5 against the helm citation-law pairs of 08/16 19:20
# columns: pre<TAB>post<TAB>key-strength   -- date-only rows rest on WEAKER evidence
4cc4d8c	c8d9021	date+subject
4cf2fa6	15f5004	date+subject
4d0e501	a0f9fb0	date+subject
4d1ec45	ebb0d0d	date+subject
4d45407	186cce7	date+subject
4d86573	e7308f7	date+subject
4db0410	3d6eb20	date+subject
4ddeb7b	818576b	date+subject
4e40547	efd419d	date+subject
4e5d4b3	a5e128f	date+subject
4e6cb69	1a463db	date+subject
4ebec8b	8a0bfe1	date+subject
4f140ea	d0d14e2	date+subject
4f1df3b	6f0d723	date+subject
4f2232a	79555fb	date+subject
4f2549a	5105429	date+subject
4f375ad	2ebf760	date+subject
4f39bce	43a3f9b	date+subject
4f63118	3e47576	date+subject
4fa92be	d790a7a	date+subject
500273a	2388765	date+subject
500aa93	f205287	date+subject
50267ca	ca568f8	date+subject
5030c6e	35b5525	date+subject
5034e3b	fd75ff9	date+subject
50721ee	65b567a	date+subject
50731cd	e9619e1	date+subject
507a86e	98accca	date+subject
507e497	78ce2c9	date+subject
5085392	dea8247	date+subject
508a76b	63aa305	date+subject
508d289	91d6cdd	date+subject
508f6ae	7338234	date+subject
50cc6c0	91c112f	date+subject
510f6a3	bfdf6dd	date+subject
512faa4	876da52	date+subject
516377f	b1f6284	date+subject
519f9e5	2367814	date+subject
51b758a	9831341	date+subject
51d404b	3cd5579	date+subject
520c528	fe62206	date+subject
520f9d6	1683e33	date+subject
5247706	72a7ae1	date+subject
52650c0	05bd805	date+subject
52710de	dbc0420	date+subject
52b963e	1f31a8c	date+subject
52bcd9c	af6751c	date+subject
52c51e5	d47f952	date+subject
52d11f3	c0a2760	date+subject
52e2549	700babb	date+subject
52e3b85	68b813d	date+subject
530b041	2462070	date+subject
53175ce	dedb502	date+subject
53c1936	5233afe	date+subject
53d1f81	75de91c	date+subject
53e0055	3074401	date+subject
540894e	6f3d15d	date+subject
5423e74	cd9271a	date+subject
542a5da	3d0be86	date+subject
5431823	b116fd2	date+subject
5436bba	1b34b23	date+subject
543db9b	74b53c1	date+subject
5446a98	c079d8d	date+subject
5466c5c	9604bcc	date+subject
547d5a1	a167e06	date+subject
549c757	2d468ea	date+subject
549fc8a	af0ab2f	date+subject
54b249a	fa4e02b	date+subject
5530a77	6deaeb2	date+subject
5539ae3	45d648e	date+subject
