instance	cell_type	group	function_color	provenance_color
_2535_	mux4_2		core_mux	agent_written
_2536_	mux2_1		core_mux	agent_written
_2537_	mux2_1		core_mux	agent_written
_2538_	a22o_2		core_combinational	agent_written
_2539_	a211o_2		core_combinational	agent_written
_2540_	mux2_1		core_mux	agent_written
_2541_	a221o_2		core_combinational	agent_written
_2542_	mux4_2		core_mux	agent_written
_2543_	o211ai_2		core_combinational	agent_written
_2544_	a21oi_2		core_combinational	agent_written
_2545_	o221a_2		core_combinational	agent_written
_2546_	a221o_2		core_combinational	agent_written
_2547_	o21ai_2		core_combinational	agent_written
_2548_	nand2_2		core_combinational	agent_written
_2549_	a21o_2		core_combinational	agent_written
_2550_	or2_2		core_combinational	agent_written
_2551_	o211a_2		core_combinational	agent_written
_2552_	mux4_2		core_mux	agent_written
_2553_	a21o_2		core_combinational	agent_written
_2554_	mux4_2		core_mux	agent_written
_2555_	or2_2		core_combinational	agent_written
_2556_	mux4_2		core_mux	agent_written
_2557_	o211a_2		core_combinational	agent_written
_2558_	a22o_2		core_combinational	agent_written
_2559_	a22o_2		core_combinational	agent_written
_2560_	or2_2		core_combinational	agent_written
_2561_	mux2_1		core_mux	agent_written
_2562_	a22o_2		core_combinational	agent_written
_2563_	mux2_1		core_mux	agent_written
_2564_	mux2_1		core_mux	agent_written
_2565_	a22o_2		core_combinational	agent_written
_2566_	a211o_2		core_combinational	agent_written
_2567_	mux4_2		core_mux	agent_written
_2568_	mux2_1		core_mux	agent_written
_2569_	mux2_1		core_mux	agent_written
_2570_	a22o_2		core_combinational	agent_written
_2571_	a21o_2		core_combinational	agent_written
_2572_	o21ai_2		core_combinational	agent_written
_2573_	nor2_2		core_combinational	agent_written
_2574_	a21oi_2		core_combinational	agent_written
_2575_	and2_2		core_combinational	agent_written
_2576_	nand2_2		core_combinational	agent_written
_2577_	or2_2		core_combinational	agent_written
_2578_	and2_2		core_combinational	agent_written
_2579_	mux4_2		core_mux	agent_written
_2580_	a22o_2		core_combinational	agent_written
_2581_	mux4_2		core_mux	agent_written
_2582_	mux4_2		core_mux	agent_written
_2583_	a22o_2		core_combinational	agent_written
_2584_	a22o_2		core_combinational	agent_written
_2585_	a21o_2		core_combinational	agent_written
_2586_	or2_2		core_combinational	agent_written
_2587_	inv_2		core_combinational	agent_written
_2588_	nand2_2		core_combinational	agent_written
_2589_	mux4_2		core_mux	agent_written
_2590_	mux2_1		core_mux	agent_written
_2591_	a21o_2		core_combinational	agent_written
_2592_	mux2_1		core_mux	agent_written
_2593_	a22o_2		core_combinational	agent_written
_2594_	mux2_1		core_mux	agent_written
_2595_	a221oi_2		core_combinational	agent_written
_2596_	mux4_2		core_mux	agent_written
_2597_	o22ai_2		core_combinational	agent_written
_2598_	nor2_2		core_combinational	agent_written
_2599_	o31a_2		core_combinational	agent_written
_2600_	mux2_1		core_mux	agent_written
_2601_	nand2_2		core_combinational	agent_written
_2602_	and3b_2		core_combinational	agent_written
_2603_	mux4_2		core_mux	agent_written
_2604_	a21o_2		core_combinational	agent_written
_2605_	mux4_2		core_mux	agent_written
_2606_	mux4_2		core_mux	agent_written
_2607_	o22a_2		core_combinational	agent_written
_2608_	nand2_2		core_combinational	agent_written
_2609_	a22o_2		core_combinational	agent_written
_2610_	a32o_2		core_combinational	agent_written
_2611_	a21oi_2		core_combinational	agent_written
_2612_	a21oi_2		core_combinational	agent_written
_2613_	inv_2		core_combinational	agent_written
_2614_	mux4_2		core_mux	agent_written
_2615_	mux2_1		core_mux	agent_written
_2616_	a21o_2		core_combinational	agent_written
_2617_	mux2_1		core_mux	agent_written
_2618_	a22o_2		core_combinational	agent_written
_2619_	mux2_1		core_mux	agent_written
_2620_	a22o_2		core_combinational	agent_written
_2621_	mux2_1		core_mux	agent_written
_2622_	or2_2		core_combinational	agent_written
_2623_	o211a_2		core_combinational	agent_written
